,position,occluder,fruit,occluderSize,status,occluderFile,fruitFile
0,1,occluderPractise,avocado,small,practise,occluderPractise_small.png,avocado_1.png
1,2,occluderPractise,avocado,small,practise,occluderPractise_small.png,avocado_2.png
