,position,occluder,fruit,occluderSize,status,occluderFile,fruitFile
78,3,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_3.png
79,3,occluder3,lemon,small,experiment,occluder3_small.png,lemon_3.png
80,3,occluder0,pear,full,experiment,occluder0_full.png,pear_3.png
81,3,occluder1,pear,large,experiment,occluder1_large.png,pear_3.png
82,3,occluder1,pear,medium,experiment,occluder1_medium.png,pear_3.png
83,3,occluder1,pear,small,experiment,occluder1_small.png,pear_3.png
84,3,occluder2,pear,large,experiment,occluder2_large.png,pear_3.png
85,3,occluder2,pear,medium,experiment,occluder2_medium.png,pear_3.png
86,3,occluder2,pear,small,experiment,occluder2_small.png,pear_3.png
87,3,occluder3,pear,large,experiment,occluder3_large.png,pear_3.png
88,3,occluder3,pear,medium,experiment,occluder3_medium.png,pear_3.png
89,3,occluder3,pear,small,experiment,occluder3_small.png,pear_3.png
90,4,occluder0,apple,full,experiment,occluder0_full.png,apple_4.png
91,4,occluder1,apple,large,experiment,occluder1_large.png,apple_4.png
92,4,occluder1,apple,medium,experiment,occluder1_medium.png,apple_4.png
93,4,occluder1,apple,small,experiment,occluder1_small.png,apple_4.png
94,4,occluder2,apple,large,experiment,occluder2_large.png,apple_4.png
95,4,occluder2,apple,medium,experiment,occluder2_medium.png,apple_4.png
96,4,occluder2,apple,small,experiment,occluder2_small.png,apple_4.png
97,4,occluder3,apple,large,experiment,occluder3_large.png,apple_4.png
98,4,occluder3,apple,medium,experiment,occluder3_medium.png,apple_4.png
99,4,occluder3,apple,small,experiment,occluder3_small.png,apple_4.png
100,4,occluder0,lemon,full,experiment,occluder0_full.png,lemon_4.png
101,4,occluder1,lemon,large,experiment,occluder1_large.png,lemon_4.png
102,4,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_4.png
103,4,occluder1,lemon,small,experiment,occluder1_small.png,lemon_4.png
104,4,occluder2,lemon,large,experiment,occluder2_large.png,lemon_4.png
105,4,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_4.png
106,4,occluder2,lemon,small,experiment,occluder2_small.png,lemon_4.png
107,4,occluder3,lemon,large,experiment,occluder3_large.png,lemon_4.png
108,4,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_4.png
109,4,occluder3,lemon,small,experiment,occluder3_small.png,lemon_4.png
110,4,occluder0,pear,full,experiment,occluder0_full.png,pear_4.png
111,4,occluder1,pear,large,experiment,occluder1_large.png,pear_4.png
112,4,occluder1,pear,medium,experiment,occluder1_medium.png,pear_4.png
113,4,occluder1,pear,small,experiment,occluder1_small.png,pear_4.png
114,4,occluder2,pear,large,experiment,occluder2_large.png,pear_4.png
115,4,occluder2,pear,medium,experiment,occluder2_medium.png,pear_4.png
116,4,occluder2,pear,small,experiment,occluder2_small.png,pear_4.png
117,4,occluder3,pear,large,experiment,occluder3_large.png,pear_4.png
118,4,occluder3,pear,medium,experiment,occluder3_medium.png,pear_4.png
119,4,occluder3,pear,small,experiment,occluder3_small.png,pear_4.png
120,5,occluder0,apple,full,experiment,occluder0_full.png,apple_5.png
121,5,occluder1,apple,large,experiment,occluder1_large.png,apple_5.png
122,5,occluder1,apple,medium,experiment,occluder1_medium.png,apple_5.png
123,5,occluder1,apple,small,experiment,occluder1_small.png,apple_5.png
124,5,occluder2,apple,large,experiment,occluder2_large.png,apple_5.png
125,5,occluder2,apple,medium,experiment,occluder2_medium.png,apple_5.png
126,5,occluder2,apple,small,experiment,occluder2_small.png,apple_5.png
127,5,occluder3,apple,large,experiment,occluder3_large.png,apple_5.png
128,5,occluder3,apple,medium,experiment,occluder3_medium.png,apple_5.png
129,5,occluder3,apple,small,experiment,occluder3_small.png,apple_5.png
130,5,occluder0,lemon,full,experiment,occluder0_full.png,lemon_5.png
131,5,occluder1,lemon,large,experiment,occluder1_large.png,lemon_5.png
132,5,occluder1,lemon,medium,experiment,occluder1_medium.png,lemon_5.png
133,5,occluder1,lemon,small,experiment,occluder1_small.png,lemon_5.png
134,5,occluder2,lemon,large,experiment,occluder2_large.png,lemon_5.png
135,5,occluder2,lemon,medium,experiment,occluder2_medium.png,lemon_5.png
136,5,occluder2,lemon,small,experiment,occluder2_small.png,lemon_5.png
137,5,occluder3,lemon,large,experiment,occluder3_large.png,lemon_5.png
138,5,occluder3,lemon,medium,experiment,occluder3_medium.png,lemon_5.png
139,5,occluder3,lemon,small,experiment,occluder3_small.png,lemon_5.png
140,5,occluder0,pear,full,experiment,occluder0_full.png,pear_5.png
141,5,occluder1,pear,large,experiment,occluder1_large.png,pear_5.png
142,5,occluder1,pear,medium,experiment,occluder1_medium.png,pear_5.png
143,5,occluder1,pear,small,experiment,occluder1_small.png,pear_5.png
144,5,occluder2,pear,large,experiment,occluder2_large.png,pear_5.png
145,5,occluder2,pear,medium,experiment,occluder2_medium.png,pear_5.png
146,5,occluder2,pear,small,experiment,occluder2_small.png,pear_5.png
147,5,occluder3,pear,large,experiment,occluder3_large.png,pear_5.png
148,5,occluder3,pear,medium,experiment,occluder3_medium.png,pear_5.png
149,5,occluder3,pear,small,experiment,occluder3_small.png,pear_5.png
150,6,occluder0,apple,full,experiment,occluder0_full.png,apple_6.png
151,6,occluder1,apple,large,experiment,occluder1_large.png,apple_6.png
152,6,occluder1,apple,medium,experiment,occluder1_medium.png,apple_6.png
153,6,occluder1,apple,small,experiment,occluder1_small.png,apple_6.png
154,6,occluder2,apple,large,experiment,occluder2_large.png,apple_6.png
155,6,occluder2,apple,medium,experiment,occluder2_medium.png,apple_6.png
156,6,occluder2,apple,small,experiment,occluder2_small.png,apple_6.png
157,6,occluder3,apple,large,experiment,occluder3_large.png,apple_6.png
158,6,occluder3,apple,medium,experiment,occluder3_medium.png,apple_6.png
159,6,occluder3,apple,small,experiment,occluder3_small.png,apple_6.png
160,6,occluder0,lemon,full,experiment,occluder0_full.png,lemon_6.png
161,6,occluder1,lemon,large,experiment,occluder1_large.png,lemon_6.png
