,occluder,number_items,signal,target1,target2,pair,distractor3,distractor4,distractor5,distractor6,target1_scene1_pos,target2_scene1_pos,distractor3_scene1_pos,distractor3_scene2_pos,distractor4_scene1_pos,distractor4_scene2_pos,distractor5_scene1_pos,distractor5_scene2_pos,distractor6_scene1_pos,distractor6_scene2_pos,target1_scene2_pos,target2_scene2_pos
34,rectangle,6,signal,apple,lemon,apple_lemon,avocado,kiwi,mango,pear,7.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,7.0
35,rectangle,6,noise,apple,lemon,apple_lemon,avocado,kiwi,mango,pear,7.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,7.0,2.0
36,rectangle,6,signal,apple,mango,apple_mango,avocado,kiwi,lemon,pear,8.0,3.0,2.0,2.0,6.0,6.0,7.0,7.0,1.0,1.0,3.0,8.0
37,rectangle,6,noise,apple,mango,apple_mango,avocado,kiwi,lemon,pear,8.0,3.0,2.0,2.0,6.0,6.0,7.0,7.0,1.0,1.0,8.0,3.0
38,rectangle,6,signal,apple,pear,apple_pear,avocado,kiwi,lemon,mango,6.0,4.0,7.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,6.0
39,rectangle,6,noise,apple,pear,apple_pear,avocado,kiwi,lemon,mango,6.0,4.0,7.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0,6.0,4.0
40,rectangle,6,signal,avocado,kiwi,avocado_kiwi,apple,lemon,mango,pear,3.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,6.0,3.0
41,rectangle,6,noise,avocado,kiwi,avocado_kiwi,apple,lemon,mango,pear,3.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,6.0
42,rectangle,6,signal,avocado,lemon,avocado_lemon,apple,kiwi,mango,pear,3.0,8.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,8.0,3.0
43,rectangle,6,noise,avocado,lemon,avocado_lemon,apple,kiwi,mango,pear,3.0,8.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,8.0
44,rectangle,6,signal,avocado,mango,avocado_mango,apple,kiwi,lemon,pear,7.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,7.0
45,rectangle,6,noise,avocado,mango,avocado_mango,apple,kiwi,lemon,pear,7.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0
46,rectangle,6,signal,avocado,pear,avocado_pear,apple,kiwi,lemon,mango,4.0,2.0,3.0,3.0,6.0,6.0,1.0,1.0,8.0,8.0,2.0,4.0
47,rectangle,6,noise,avocado,pear,avocado_pear,apple,kiwi,lemon,mango,4.0,2.0,3.0,3.0,6.0,6.0,1.0,1.0,8.0,8.0,4.0,2.0
48,rectangle,6,signal,kiwi,lemon,kiwi_lemon,apple,avocado,mango,pear,1.0,6.0,7.0,7.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,1.0
49,rectangle,6,noise,kiwi,lemon,kiwi_lemon,apple,avocado,mango,pear,1.0,6.0,7.0,7.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,6.0
50,rectangle,6,signal,kiwi,mango,kiwi_mango,apple,avocado,lemon,pear,5.0,4.0,1.0,1.0,8.0,8.0,7.0,7.0,3.0,3.0,4.0,5.0
51,rectangle,6,noise,kiwi,mango,kiwi_mango,apple,avocado,lemon,pear,5.0,4.0,1.0,1.0,8.0,8.0,7.0,7.0,3.0,3.0,5.0,4.0
52,rectangle,6,signal,kiwi,pear,kiwi_pear,apple,avocado,lemon,mango,7.0,1.0,6.0,6.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,7.0
53,rectangle,6,noise,kiwi,pear,kiwi_pear,apple,avocado,lemon,mango,7.0,1.0,6.0,6.0,2.0,2.0,3.0,3.0,4.0,4.0,7.0,1.0
54,rectangle,6,signal,lemon,mango,lemon_mango,apple,avocado,kiwi,pear,8.0,4.0,3.0,3.0,6.0,6.0,2.0,2.0,5.0,5.0,4.0,8.0
55,rectangle,6,noise,lemon,mango,lemon_mango,apple,avocado,kiwi,pear,8.0,4.0,3.0,3.0,6.0,6.0,2.0,2.0,5.0,5.0,8.0,4.0
56,rectangle,6,signal,lemon,pear,lemon_pear,apple,avocado,kiwi,mango,8.0,6.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,6.0,8.0
57,rectangle,6,noise,lemon,pear,lemon_pear,apple,avocado,kiwi,mango,8.0,6.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,8.0,6.0
58,rectangle,6,signal,mango,pear,mango_pear,apple,avocado,kiwi,lemon,8.0,4.0,6.0,6.0,2.0,2.0,7.0,7.0,5.0,5.0,4.0,8.0
59,rectangle,6,noise,mango,pear,mango_pear,apple,avocado,kiwi,lemon,8.0,4.0,6.0,6.0,2.0,2.0,7.0,7.0,5.0,5.0,8.0,4.0
60,scene,6,signal,apple,avocado,apple_avocado,kiwi,lemon,mango,pear,6.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,8.0,8.0,4.0,6.0
61,scene,6,noise,apple,avocado,apple_avocado,kiwi,lemon,mango,pear,6.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,8.0,8.0,6.0,4.0
62,scene,6,signal,apple,kiwi,apple_kiwi,avocado,lemon,mango,pear,7.0,5.0,6.0,6.0,2.0,2.0,1.0,1.0,8.0,8.0,5.0,7.0
63,scene,6,noise,apple,kiwi,apple_kiwi,avocado,lemon,mango,pear,7.0,5.0,6.0,6.0,2.0,2.0,1.0,1.0,8.0,8.0,7.0,5.0
64,scene,6,signal,apple,lemon,apple_lemon,avocado,kiwi,mango,pear,7.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,2.0,7.0
65,scene,6,noise,apple,lemon,apple_lemon,avocado,kiwi,mango,pear,7.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,5.0,7.0,2.0
66,scene,6,signal,apple,mango,apple_mango,avocado,kiwi,lemon,pear,8.0,3.0,2.0,2.0,6.0,6.0,7.0,7.0,1.0,1.0,3.0,8.0
67,scene,6,noise,apple,mango,apple_mango,avocado,kiwi,lemon,pear,8.0,3.0,2.0,2.0,6.0,6.0,7.0,7.0,1.0,1.0,8.0,3.0
68,scene,6,signal,apple,pear,apple_pear,avocado,kiwi,lemon,mango,6.0,4.0,7.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,6.0
69,scene,6,noise,apple,pear,apple_pear,avocado,kiwi,lemon,mango,6.0,4.0,7.0,7.0,2.0,2.0,3.0,3.0,1.0,1.0,6.0,4.0
70,scene,6,signal,avocado,kiwi,avocado_kiwi,apple,lemon,mango,pear,3.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,6.0,3.0
71,scene,6,noise,avocado,kiwi,avocado_kiwi,apple,lemon,mango,pear,3.0,6.0,5.0,5.0,2.0,2.0,1.0,1.0,4.0,4.0,3.0,6.0
72,scene,6,signal,avocado,lemon,avocado_lemon,apple,kiwi,mango,pear,3.0,8.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,8.0,3.0
73,scene,6,noise,avocado,lemon,avocado_lemon,apple,kiwi,mango,pear,3.0,8.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,8.0
74,scene,6,signal,avocado,mango,avocado_mango,apple,kiwi,lemon,pear,7.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,8.0,7.0
75,scene,6,noise,avocado,mango,avocado_mango,apple,kiwi,lemon,pear,7.0,8.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,8.0
76,scene,6,signal,avocado,pear,avocado_pear,apple,kiwi,lemon,mango,4.0,2.0,3.0,3.0,6.0,6.0,1.0,1.0,8.0,8.0,2.0,4.0
77,scene,6,noise,avocado,pear,avocado_pear,apple,kiwi,lemon,mango,4.0,2.0,3.0,3.0,6.0,6.0,1.0,1.0,8.0,8.0,4.0,2.0
78,scene,6,signal,kiwi,lemon,kiwi_lemon,apple,avocado,mango,pear,1.0,6.0,7.0,7.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,1.0
79,scene,6,noise,kiwi,lemon,kiwi_lemon,apple,avocado,mango,pear,1.0,6.0,7.0,7.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,6.0
80,scene,6,signal,kiwi,mango,kiwi_mango,apple,avocado,lemon,pear,5.0,4.0,1.0,1.0,8.0,8.0,7.0,7.0,3.0,3.0,4.0,5.0
81,scene,6,noise,kiwi,mango,kiwi_mango,apple,avocado,lemon,pear,5.0,4.0,1.0,1.0,8.0,8.0,7.0,7.0,3.0,3.0,5.0,4.0
82,scene,6,signal,kiwi,pear,kiwi_pear,apple,avocado,lemon,mango,7.0,1.0,6.0,6.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,7.0
83,scene,6,noise,kiwi,pear,kiwi_pear,apple,avocado,lemon,mango,7.0,1.0,6.0,6.0,2.0,2.0,3.0,3.0,4.0,4.0,7.0,1.0
84,scene,6,signal,lemon,mango,lemon_mango,apple,avocado,kiwi,pear,8.0,4.0,3.0,3.0,6.0,6.0,2.0,2.0,5.0,5.0,4.0,8.0
85,scene,6,noise,lemon,mango,lemon_mango,apple,avocado,kiwi,pear,8.0,4.0,3.0,3.0,6.0,6.0,2.0,2.0,5.0,5.0,8.0,4.0
86,scene,6,signal,lemon,pear,lemon_pear,apple,avocado,kiwi,mango,8.0,6.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,6.0,8.0
87,scene,6,noise,lemon,pear,lemon_pear,apple,avocado,kiwi,mango,8.0,6.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,8.0,6.0
88,scene,6,signal,mango,pear,mango_pear,apple,avocado,kiwi,lemon,8.0,4.0,6.0,6.0,2.0,2.0,7.0,7.0,5.0,5.0,4.0,8.0
89,scene,6,noise,mango,pear,mango_pear,apple,avocado,kiwi,lemon,8.0,4.0,6.0,6.0,2.0,2.0,7.0,7.0,5.0,5.0,8.0,4.0
